# BEGIN PLOT
RatioPlotReference=WWbBCutsSherpa.yoda/ATLAS_sherpa/PtMiss
RatioPlot=1
DrawOnly=WWbBCutsSherpa.yoda/ATLAS_sherpa/PtMiss emubB_homemade.yoda/ATLAS_sherpa/PtMiss
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBCutsSherpa.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBCutsSherpa.yoda/ATLAS_sherpa/PtMiss
ScaledBy=2.2340276683880514e-08
Title=WWbBCutsSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.468192e-03	5.715542e-06	5.715542e-06
2.400000e+01	3.200000e+01	8.249649e-03	8.788811e-06	8.788811e-06
3.200000e+01	4.000000e+01	9.617184e-03	9.495399e-06	9.495399e-06
4.000000e+01	4.800000e+01	1.049788e-02	9.967443e-06	9.967443e-06
4.800000e+01	5.600000e+01	1.095394e-02	1.024141e-05	1.024141e-05
5.600000e+01	6.400000e+01	1.094507e-02	1.027698e-05	1.027698e-05
6.400000e+01	7.200000e+01	1.051632e-02	1.016979e-05	1.016979e-05
7.200000e+01	8.000000e+01	9.723298e-03	9.937160e-06	9.937160e-06
8.000000e+01	8.800000e+01	8.661510e-03	9.539427e-06	9.539427e-06
8.800000e+01	9.600000e+01	7.399267e-03	8.902134e-06	8.902134e-06
9.600000e+01	1.040000e+02	6.133789e-03	8.312526e-06	8.312526e-06
1.040000e+02	1.120000e+02	4.920304e-03	7.424564e-06	7.424564e-06
1.120000e+02	1.200000e+02	3.800936e-03	6.515471e-06	6.515471e-06
1.200000e+02	1.280000e+02	2.865909e-03	5.705253e-06	5.705253e-06
1.280000e+02	1.360000e+02	2.093763e-03	4.875460e-06	4.875460e-06
1.360000e+02	1.440000e+02	1.493221e-03	4.069768e-06	4.069768e-06
1.440000e+02	1.520000e+02	1.037430e-03	3.363041e-06	3.363041e-06
1.520000e+02	1.600000e+02	7.271203e-04	2.778759e-06	2.778759e-06
1.600000e+02	1.680000e+02	5.113672e-04	2.333607e-06	2.333607e-06
1.680000e+02	1.760000e+02	3.679727e-04	1.958904e-06	1.958904e-06
1.760000e+02	1.840000e+02	2.778372e-04	1.736196e-06	1.736196e-06
1.840000e+02	1.920000e+02	2.095538e-04	1.453907e-06	1.453907e-06
1.920000e+02	2.000000e+02	1.620831e-04	1.295476e-06	1.295476e-06
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/PtMiss
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/PtMiss
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.487247e-03	3.199840e-05	3.199840e-05
2.400000e+01	3.200000e+01	8.316373e-03	4.723842e-05	4.723842e-05
3.200000e+01	4.000000e+01	9.735216e-03	5.035791e-05	5.035791e-05
4.000000e+01	4.800000e+01	1.061048e-02	5.025026e-05	5.025026e-05
4.800000e+01	5.600000e+01	1.102641e-02	5.085539e-05	5.085539e-05
5.600000e+01	6.400000e+01	1.095902e-02	5.142598e-05	5.142598e-05
6.400000e+01	7.200000e+01	1.058869e-02	5.326090e-05	5.326090e-05
7.200000e+01	8.000000e+01	9.768921e-03	4.895320e-05	4.895320e-05
8.000000e+01	8.800000e+01	8.736910e-03	6.175657e-05	6.175657e-05
8.800000e+01	9.600000e+01	7.586585e-03	5.541746e-05	5.541746e-05
9.600000e+01	1.040000e+02	6.200187e-03	4.174343e-05	4.174343e-05
1.040000e+02	1.120000e+02	4.920267e-03	3.979987e-05	3.979987e-05
1.120000e+02	1.200000e+02	3.809326e-03	3.363124e-05	3.363124e-05
1.200000e+02	1.280000e+02	2.843107e-03	2.674940e-05	2.674940e-05
1.280000e+02	1.360000e+02	2.105984e-03	2.320710e-05	2.320710e-05
1.360000e+02	1.440000e+02	1.527066e-03	2.062930e-05	2.062930e-05
1.440000e+02	1.520000e+02	1.043486e-03	1.481958e-05	1.481958e-05
1.520000e+02	1.600000e+02	7.185444e-04	1.089403e-05	1.089403e-05
1.600000e+02	1.680000e+02	5.141651e-04	9.376027e-06	9.376027e-06
1.680000e+02	1.760000e+02	3.805332e-04	7.615442e-06	7.615442e-06
1.760000e+02	1.840000e+02	2.883456e-04	6.900585e-06	6.900585e-06
1.840000e+02	1.920000e+02	2.147144e-04	7.760940e-06	7.760940e-06
1.920000e+02	2.000000e+02	1.696931e-04	5.419652e-06	5.419652e-06
# END HISTO1D

