# BEGIN PLOT
RatioPlotReference=WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRb
RatioPlot=1
DrawOnly=WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRb emubB_homemade.yoda/ATLAS_sherpa/deltaRb
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRb
ScaledBy=2.2340276683880514e-08
Title=WWbBCutsSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	2.171259e-05	3.262479e-06	3.262479e-06
5.000000e-01	6.000000e-01	8.244045e-02	2.644464e-04	2.644464e-04
6.000000e-01	7.000000e-01	9.830225e-02	2.881885e-04	2.881885e-04
7.000000e-01	8.000000e-01	1.125612e-01	3.057118e-04	3.057118e-04
8.000000e-01	9.000000e-01	1.274191e-01	3.258032e-04	3.258032e-04
9.000000e-01	1.000000e+00	1.432977e-01	3.444284e-04	3.444284e-04
1.000000e+00	1.100000e+00	1.583886e-01	3.619809e-04	3.619809e-04
1.100000e+00	1.200000e+00	1.737447e-01	3.784719e-04	3.784719e-04
1.200000e+00	1.300000e+00	1.887185e-01	3.917321e-04	3.917321e-04
1.300000e+00	1.400000e+00	2.044242e-01	4.068208e-04	4.068208e-04
1.400000e+00	1.500000e+00	2.204213e-01	4.212879e-04	4.212879e-04
1.500000e+00	1.600000e+00	2.368512e-01	4.369756e-04	4.369756e-04
1.600000e+00	1.700000e+00	2.547931e-01	4.526313e-04	4.526313e-04
1.700000e+00	1.800000e+00	2.722419e-01	4.661311e-04	4.661311e-04
1.800000e+00	1.900000e+00	2.886681e-01	4.798559e-04	4.798559e-04
1.900000e+00	2.000000e+00	3.065582e-01	4.931922e-04	4.931922e-04
2.000000e+00	2.100000e+00	3.250624e-01	5.070557e-04	5.070557e-04
2.100000e+00	2.200000e+00	3.452838e-01	5.245382e-04	5.245382e-04
2.200000e+00	2.300000e+00	3.653477e-01	5.337955e-04	5.337955e-04
2.300000e+00	2.400000e+00	3.864604e-01	5.502515e-04	5.502515e-04
2.400000e+00	2.500000e+00	4.078845e-01	5.644457e-04	5.644457e-04
2.500000e+00	2.600000e+00	4.287889e-01	5.776413e-04	5.776413e-04
2.600000e+00	2.700000e+00	4.505158e-01	5.901624e-04	5.901624e-04
2.700000e+00	2.800000e+00	4.725653e-01	6.048091e-04	6.048091e-04
2.800000e+00	2.900000e+00	4.913122e-01	6.176558e-04	6.176558e-04
2.900000e+00	3.000000e+00	5.105249e-01	6.284693e-04	6.284693e-04
3.000000e+00	3.100000e+00	5.257856e-01	6.401895e-04	6.401895e-04
3.100000e+00	3.200000e+00	4.630208e-01	6.034177e-04	6.034177e-04
3.200000e+00	3.300000e+00	2.968719e-01	4.884759e-04	4.884759e-04
3.300000e+00	3.400000e+00	2.155056e-01	4.211450e-04	4.211450e-04
3.400000e+00	3.500000e+00	1.627699e-01	3.722916e-04	3.722916e-04
3.500000e+00	3.600000e+00	1.240593e-01	3.433564e-04	3.433564e-04
3.600000e+00	3.700000e+00	9.503678e-02	2.928873e-04	2.928873e-04
3.700000e+00	3.800000e+00	7.267415e-02	2.589643e-04	2.589643e-04
3.800000e+00	3.900000e+00	5.593628e-02	2.350590e-04	2.350590e-04
3.900000e+00	4.000000e+00	4.237526e-02	2.082036e-04	2.082036e-04
4.000000e+00	4.100000e+00	3.242488e-02	1.899358e-04	1.899358e-04
4.100000e+00	4.200000e+00	2.445024e-02	1.937187e-04	1.937187e-04
4.200000e+00	4.300000e+00	1.814267e-02	1.468923e-04	1.468923e-04
4.300000e+00	4.400000e+00	1.337603e-02	1.314438e-04	1.314438e-04
4.400000e+00	4.500000e+00	9.794591e-03	1.131225e-04	1.131225e-04
4.500000e+00	4.600000e+00	6.887151e-03	1.023862e-04	1.023862e-04
4.600000e+00	4.700000e+00	5.014522e-03	8.689815e-05	8.689815e-05
4.700000e+00	4.800000e+00	3.555009e-03	7.673016e-05	7.673016e-05
4.800000e+00	4.900000e+00	2.391396e-03	6.997532e-05	6.997532e-05
4.900000e+00	5.000000e+00	1.731844e-03	5.411733e-05	5.411733e-05
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/deltaRb
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	5.000000e-01	4.849847e-05	2.326461e-05	2.326461e-05
5.000000e-01	6.000000e-01	8.332944e-02	1.318065e-03	1.318065e-03
6.000000e-01	7.000000e-01	9.856902e-02	1.465651e-03	1.465651e-03
7.000000e-01	8.000000e-01	1.148641e-01	1.604161e-03	1.604161e-03
8.000000e-01	9.000000e-01	1.317318e-01	1.843794e-03	1.843794e-03
9.000000e-01	1.000000e+00	1.449639e-01	1.928389e-03	1.928389e-03
1.000000e+00	1.100000e+00	1.593516e-01	1.768283e-03	1.768283e-03
1.100000e+00	1.200000e+00	1.741683e-01	1.919811e-03	1.919811e-03
1.200000e+00	1.300000e+00	1.920466e-01	2.256518e-03	2.256518e-03
1.300000e+00	1.400000e+00	2.103648e-01	3.829952e-03	3.829952e-03
1.400000e+00	1.500000e+00	2.262872e-01	2.411359e-03	2.411359e-03
1.500000e+00	1.600000e+00	2.402383e-01	2.299824e-03	2.299824e-03
1.600000e+00	1.700000e+00	2.556229e-01	2.287025e-03	2.287025e-03
1.700000e+00	1.800000e+00	2.747471e-01	2.536172e-03	2.536172e-03
1.800000e+00	1.900000e+00	2.926548e-01	2.859726e-03	2.859726e-03
1.900000e+00	2.000000e+00	3.076372e-01	2.369052e-03	2.369052e-03
2.000000e+00	2.100000e+00	3.231389e-01	2.440434e-03	2.440434e-03
2.100000e+00	2.200000e+00	3.483171e-01	3.157944e-03	3.157944e-03
2.200000e+00	2.300000e+00	3.672268e-01	2.616043e-03	2.616043e-03
2.300000e+00	2.400000e+00	3.886972e-01	2.766960e-03	2.766960e-03
2.400000e+00	2.500000e+00	4.067567e-01	2.943057e-03	2.943057e-03
2.500000e+00	2.600000e+00	4.341891e-01	3.300903e-03	3.300903e-03
2.600000e+00	2.700000e+00	4.538739e-01	2.927423e-03	2.927423e-03
2.700000e+00	2.800000e+00	4.770916e-01	3.278070e-03	3.278070e-03
2.800000e+00	2.900000e+00	4.958518e-01	3.504196e-03	3.504196e-03
2.900000e+00	3.000000e+00	5.173848e-01	3.150836e-03	3.150836e-03
3.000000e+00	3.100000e+00	5.258487e-01	3.026055e-03	3.026055e-03
3.100000e+00	3.200000e+00	4.694300e-01	2.968065e-03	2.968065e-03
3.200000e+00	3.300000e+00	2.975048e-01	2.375454e-03	2.375454e-03
3.300000e+00	3.400000e+00	2.150382e-01	2.025896e-03	2.025896e-03
3.400000e+00	3.500000e+00	1.652145e-01	1.746152e-03	1.746152e-03
3.500000e+00	3.600000e+00	1.251774e-01	1.558164e-03	1.558164e-03
3.600000e+00	3.700000e+00	9.426887e-02	1.340261e-03	1.340261e-03
3.700000e+00	3.800000e+00	7.434990e-02	1.097519e-03	1.097519e-03
3.800000e+00	3.900000e+00	5.575755e-02	1.014422e-03	1.014422e-03
3.900000e+00	4.000000e+00	4.199662e-02	9.044840e-04	9.044840e-04
4.000000e+00	4.100000e+00	3.227238e-02	7.358004e-04	7.358004e-04
4.100000e+00	4.200000e+00	2.441064e-02	6.175900e-04	6.175900e-04
4.200000e+00	4.300000e+00	1.850030e-02	6.303360e-04	6.303360e-04
4.300000e+00	4.400000e+00	1.261727e-02	3.931482e-04	3.931482e-04
4.400000e+00	4.500000e+00	9.400583e-03	4.217167e-04	4.217167e-04
4.500000e+00	4.600000e+00	7.104177e-03	3.743247e-04	3.743247e-04
4.600000e+00	4.700000e+00	4.895187e-03	2.918539e-04	2.918539e-04
4.700000e+00	4.800000e+00	3.677822e-03	2.466070e-04	2.466070e-04
4.800000e+00	4.900000e+00	2.449295e-03	2.410379e-04	2.410379e-04
4.900000e+00	5.000000e+00	1.534725e-03	1.337450e-04	1.337450e-04
# END HISTO1D

