# BEGIN PLOT
RatioPlotReference=WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRl
RatioPlot=1
DrawOnly=WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRl emubB_homemade.yoda/ATLAS_sherpa/deltaRl
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBCutsSherpa.yoda/ATLAS_sherpa/deltaRl
ScaledBy=2.2340276683880514e-08
Title=WWbBCutsSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	8.720993e-03	9.088771e-05	9.088771e-05
1.000000e-01	2.000000e-01	2.602231e-02	1.554550e-04	1.554550e-04
2.000000e-01	3.000000e-01	4.321513e-02	2.007958e-04	2.007958e-04
3.000000e-01	4.000000e-01	6.059582e-02	2.391338e-04	2.391338e-04
4.000000e-01	5.000000e-01	7.795421e-02	2.701419e-04	2.701419e-04
5.000000e-01	6.000000e-01	9.493840e-02	2.994121e-04	2.994121e-04
6.000000e-01	7.000000e-01	1.111899e-01	3.210396e-04	3.210396e-04
7.000000e-01	8.000000e-01	1.279000e-01	3.444877e-04	3.444877e-04
8.000000e-01	9.000000e-01	1.446647e-01	3.639492e-04	3.639492e-04
9.000000e-01	1.000000e+00	1.608478e-01	3.801743e-04	3.801743e-04
1.000000e+00	1.100000e+00	1.759787e-01	3.960682e-04	3.960682e-04
1.100000e+00	1.200000e+00	1.926019e-01	4.148191e-04	4.148191e-04
1.200000e+00	1.300000e+00	2.082306e-01	4.293926e-04	4.293926e-04
1.300000e+00	1.400000e+00	2.242078e-01	4.428578e-04	4.428578e-04
1.400000e+00	1.500000e+00	2.391634e-01	4.541570e-04	4.541570e-04
1.500000e+00	1.600000e+00	2.546457e-01	4.685367e-04	4.685367e-04
1.600000e+00	1.700000e+00	2.697346e-01	4.775734e-04	4.775734e-04
1.700000e+00	1.800000e+00	2.854358e-01	4.884558e-04	4.884558e-04
1.800000e+00	1.900000e+00	3.008753e-01	4.989394e-04	4.989394e-04
1.900000e+00	2.000000e+00	3.159330e-01	5.059592e-04	5.059592e-04
2.000000e+00	2.100000e+00	3.314727e-01	5.150774e-04	5.150774e-04
2.100000e+00	2.200000e+00	3.468414e-01	5.284555e-04	5.284555e-04
2.200000e+00	2.300000e+00	3.614155e-01	5.333164e-04	5.333164e-04
2.300000e+00	2.400000e+00	3.775750e-01	5.394936e-04	5.394936e-04
2.400000e+00	2.500000e+00	3.909020e-01	5.473345e-04	5.473345e-04
2.500000e+00	2.600000e+00	4.052437e-01	5.566275e-04	5.566275e-04
