# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Eta1 Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Eta1
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Eta1
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$1^\mathrm{st}$ jet $\eta$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Eta1
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.986495e-02	1.800915e-03	1.800915e-03
-2.250000e+00	-2.000000e+00	6.370256e-02	2.276544e-03	2.276544e-03
-2.000000e+00	-1.750000e+00	9.648944e-02	2.801802e-03	2.801802e-03
-1.750000e+00	-1.500000e+00	1.383883e-01	3.355423e-03	3.355423e-03
-1.500000e+00	-1.250000e+00	1.871212e-01	3.901746e-03	3.901746e-03
-1.250000e+00	-1.000000e+00	2.268234e-01	4.295775e-03	4.295775e-03
-1.000000e+00	-7.500000e-01	2.710816e-01	4.696211e-03	4.696211e-03
-7.500000e-01	-5.000000e-01	3.042753e-01	4.975434e-03	4.975434e-03
-5.000000e-01	-2.500000e-01	3.232315e-01	5.128075e-03	5.128075e-03
-2.500000e-01	0.000000e+00	3.345401e-01	5.217011e-03	5.217011e-03
0.000000e+00	2.500000e-01	3.457674e-01	5.303830e-03	5.303830e-03
2.500000e-01	5.000000e-01	3.306350e-01	5.186472e-03	5.186472e-03
5.000000e-01	7.500000e-01	3.041940e-01	4.974768e-03	4.974768e-03
7.500000e-01	1.000000e+00	2.715698e-01	4.700437e-03	4.700437e-03
1.000000e+00	1.250000e+00	2.255217e-01	4.283430e-03	4.283430e-03
1.250000e+00	1.500000e+00	1.907822e-01	3.939731e-03	3.939731e-03
1.500000e+00	1.750000e+00	1.403409e-01	3.379011e-03	3.379011e-03
1.750000e+00	2.000000e+00	9.990644e-02	2.850981e-03	2.850981e-03
2.000000e+00	2.250000e+00	6.353984e-02	2.273634e-03	2.273634e-03
2.250000e+00	2.500000e+00	3.856324e-02	1.771268e-03	1.771268e-03
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Eta1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Eta1
ScaledBy=0.00017627357659086903
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	3.172924e-02	4.729917e-03	4.729917e-03
-2.250000e+00	-2.000000e+00	6.909924e-02	6.980078e-03	6.980078e-03
-2.000000e+00	-1.750000e+00	1.043540e-01	8.577842e-03	8.577842e-03
-1.750000e+00	-1.500000e+00	1.297374e-01	9.564365e-03	9.564365e-03
-1.500000e+00	-1.250000e+00	2.009519e-01	1.190336e-02	1.190336e-02
-1.250000e+00	-1.000000e+00	2.481932e-01	1.322874e-02	1.322874e-02
-1.000000e+00	-7.500000e-01	2.806275e-01	1.406658e-02	1.406658e-02
-7.500000e-01	-5.000000e-01	3.074211e-01	1.472280e-02	1.472280e-02
-5.000000e-01	-2.500000e-01	3.405606e-01	1.549604e-02	1.549604e-02
-2.500000e-01	0.000000e+00	3.137670e-01	1.487398e-02	1.487398e-02
0.000000e+00	2.500000e-01	3.433809e-01	1.556008e-02	1.556008e-02
2.500000e-01	5.000000e-01	3.038956e-01	1.463814e-02	1.463814e-02
5.000000e-01	7.500000e-01	3.053058e-01	1.467206e-02	1.467206e-02
7.500000e-01	1.000000e+00	2.806275e-01	1.406658e-02	1.406658e-02
1.000000e+00	1.250000e+00	2.122334e-01	1.223293e-02	1.223293e-02
1.250000e+00	1.500000e+00	1.974264e-01	1.179848e-02	1.179848e-02
1.500000e+00	1.750000e+00	1.381985e-01	9.871320e-03	9.871320e-03
1.750000e+00	2.000000e+00	8.884188e-02	7.914664e-03	7.914664e-03
2.000000e+00	2.250000e+00	6.134320e-02	6.576682e-03	6.576682e-03
2.250000e+00	2.500000e+00	4.089548e-02	5.369839e-03	5.369839e-03
# END HISTO1D

