# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/HT
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
RatioPlot=1
LogY=1
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
ScaledBy=0.0014959464491373794
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.096223e-03	2.487059e-05	2.487059e-05
1.800000e+02	2.400000e+02	2.962273e-03	2.956513e-05	2.956513e-05
2.400000e+02	3.000000e+02	2.954010e-03	2.952387e-05	2.952387e-05
3.000000e+02	3.600000e+02	2.289498e-03	2.599186e-05	2.599186e-05
3.600000e+02	4.200000e+02	1.539119e-03	2.131098e-05	2.131098e-05
4.200000e+02	4.800000e+02	9.923422e-04	1.711189e-05	1.711189e-05
4.800000e+02	5.400000e+02	6.229063e-04	1.355747e-05	1.355747e-05
5.400000e+02	6.000000e+02	3.738618e-04	1.050323e-05	1.050323e-05
6.000000e+02	6.600000e+02	2.375365e-04	8.372063e-06	8.372063e-06
6.600000e+02	7.200000e+02	1.493087e-04	6.637580e-06	6.637580e-06
7.200000e+02	7.800000e+02	9.560477e-05	5.311377e-06	5.311377e-06
7.800000e+02	8.400000e+02	6.019560e-05	4.214535e-06	4.214535e-06
8.400000e+02	9.000000e+02	4.308117e-05	3.565422e-06	3.565422e-06
9.000000e+02	9.600000e+02	3.334363e-05	3.136706e-06	3.136706e-06
9.600000e+02	1.020000e+03	1.770458e-05	2.285653e-06	2.285653e-06
1.020000e+03	1.080000e+03	1.268829e-05	1.934945e-06	1.934945e-06
1.080000e+03	1.140000e+03	6.786758e-06	1.415137e-06	1.415137e-06
1.140000e+03	1.200000e+03	6.491682e-06	1.384031e-06	1.384031e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/HT
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/HT
ScaledBy=0.00021529400000000002
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.195998e-03	8.876799e-05	8.876799e-05
1.800000e+02	2.400000e+02	3.344233e-03	1.095440e-04	1.095440e-04
2.400000e+02	3.000000e+02	4.208998e-03	1.228937e-04	1.228937e-04
3.000000e+02	3.600000e+02	3.559527e-03	1.130151e-04	1.130151e-04
3.600000e+02	4.200000e+02	2.461528e-03	9.398157e-05	9.398157e-05
4.200000e+02	4.800000e+02	1.607528e-03	7.594858e-05	7.594858e-05
4.800000e+02	5.400000e+02	1.026235e-03	6.068253e-05	6.068253e-05
5.400000e+02	6.000000e+02	6.709997e-04	4.906835e-05	4.906835e-05
6.000000e+02	6.600000e+02	4.126468e-04	3.847951e-05	3.847951e-05
6.600000e+02	7.200000e+02	2.511763e-04	3.002131e-05	3.002131e-05
7.200000e+02	7.800000e+02	1.973528e-04	2.661105e-05	2.661105e-05
7.800000e+02	8.400000e+02	1.040588e-04	1.932323e-05	1.932323e-05
8.400000e+02	9.000000e+02	9.688230e-05	1.864501e-05	1.864501e-05
9.000000e+02	9.600000e+02	6.458820e-05	1.522358e-05	1.522358e-05
9.600000e+02	1.020000e+03	5.023527e-05	1.342594e-05	1.342594e-05
1.020000e+03	1.080000e+03	2.511763e-05	9.493572e-06	9.493572e-06
1.080000e+03	1.140000e+03	3.229410e-05	1.076470e-05	1.076470e-05
1.140000e+03	1.200000e+03	1.794117e-05	8.023533e-06	8.023533e-06
# END HISTO1D

