# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Phiemu
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu
ScaledBy=0.0014959464491373794
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	3.634927e-02	1.431251e-03	1.431251e-03
3.141593e-01	6.283185e-01	3.770181e-02	1.457636e-03	1.457636e-03
6.283185e-01	9.424778e-01	3.950518e-02	1.492090e-03	1.492090e-03
9.424778e-01	1.256637e+00	4.147763e-02	1.528885e-03	1.528885e-03
1.256637e+00	1.570796e+00	4.452083e-02	1.583981e-03	1.583981e-03
1.570796e+00	1.884956e+00	5.066342e-02	1.689720e-03	1.689720e-03
1.884956e+00	2.199115e+00	6.187835e-02	1.867401e-03	1.867401e-03
2.199115e+00	2.513274e+00	7.106430e-02	2.001215e-03	2.001215e-03
2.513274e+00	2.827433e+00	8.374428e-02	2.172430e-03	2.172430e-03
2.827433e+00	3.141593e+00	9.281723e-02	2.287082e-03	2.287082e-03
3.141593e+00	3.455752e+00	9.450816e-02	2.307825e-03	2.307825e-03
3.455752e+00	3.769911e+00	8.250446e-02	2.156289e-03	2.156289e-03
3.769911e+00	4.084070e+00	7.405113e-02	2.042838e-03	2.042838e-03
4.084070e+00	4.398230e+00	6.463955e-02	1.908607e-03	1.908607e-03
4.398230e+00	4.712389e+00	5.021276e-02	1.682190e-03	1.682190e-03
4.712389e+00	5.026548e+00	4.919837e-02	1.665112e-03	1.665112e-03
5.026548e+00	5.340708e+00	4.209743e-02	1.540264e-03	1.540264e-03
5.340708e+00	5.654867e+00	3.888531e-02	1.480338e-03	1.480338e-03
5.654867e+00	5.969026e+00	3.370058e-02	1.378120e-03	1.378120e-03
5.969026e+00	6.283185e+00	3.319338e-02	1.367710e-03	1.367710e-03
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Phiemu
ScaledBy=0.00021529400000000002
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	9.594228e-02	8.108603e-03	8.108603e-03
3.141593e-01	6.283185e-01	8.018037e-02	7.412677e-03	7.412677e-03
6.283185e-01	9.424778e-01	1.000541e-01	8.280536e-03	8.280536e-03
9.424778e-01	1.256637e+00	1.117043e-01	8.749353e-03	8.749353e-03
1.256637e+00	1.570796e+00	1.260957e-01	9.295898e-03	9.295898e-03
1.570796e+00	1.884956e+00	1.439131e-01	9.930947e-03	9.930947e-03
1.884956e+00	2.199115e+00	1.377458e-01	9.715842e-03	9.715842e-03
2.199115e+00	2.513274e+00	1.541931e-01	1.027954e-02	1.027954e-02
2.513274e+00	2.827433e+00	1.685844e-01	1.074855e-02	1.074855e-02
2.827433e+00	3.141593e+00	1.507661e-01	1.016465e-02	1.016465e-02
3.141593e+00	3.455752e+00	1.822905e-01	1.117695e-02	1.117695e-02
3.455752e+00	3.769911e+00	1.589902e-01	1.043822e-02	1.043822e-02
3.769911e+00	4.084070e+00	1.507666e-01	1.016468e-02	1.016468e-02
4.084070e+00	4.398230e+00	1.603603e-01	1.048308e-02	1.048308e-02
4.398230e+00	4.712389e+00	1.404870e-01	9.812041e-03	9.812041e-03
4.712389e+00	5.026548e+00	1.219839e-01	9.143078e-03	9.143078e-03
5.026548e+00	5.340708e+00	1.014245e-01	8.337040e-03	8.337040e-03
5.340708e+00	5.654867e+00	1.048513e-01	8.476726e-03	8.476726e-03
5.654867e+00	5.969026e+00	9.251586e-02	7.962497e-03	7.962497e-03
5.969026e+00	6.283185e+00	9.868360e-02	8.223632e-03	8.223632e-03
# END HISTO1D

