# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1 Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Pt1
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
RatioPlot=1
LogY=1
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	2.288167e-05	5.393260e-06	5.393260e-06
3.200000e+01	4.800000e+01	2.933938e-03	6.107072e-05	6.107072e-05
4.800000e+01	6.400000e+01	8.173837e-03	1.019344e-04	1.019344e-04
6.400000e+01	8.000000e+01	1.152728e-02	1.210517e-04	1.210517e-04
8.000000e+01	9.600000e+01	1.088023e-02	1.176052e-04	1.176052e-04
9.600000e+01	1.120000e+02	8.660713e-03	1.049263e-04	1.049263e-04
1.120000e+02	1.280000e+02	6.322969e-03	8.965365e-05	8.965365e-05
1.280000e+02	1.440000e+02	4.207684e-03	7.313566e-05	7.313566e-05
1.440000e+02	1.600000e+02	3.031821e-03	6.208109e-05	6.208109e-05
1.600000e+02	1.760000e+02	1.941128e-03	4.967463e-05	4.967463e-05
1.760000e+02	1.920000e+02	1.341120e-03	4.128966e-05	4.128966e-05
1.920000e+02	2.080000e+02	9.813694e-04	3.532025e-05	3.532025e-05
2.080000e+02	2.240000e+02	6.495850e-04	2.873595e-05	2.873595e-05
2.240000e+02	2.400000e+02	4.855998e-04	2.484544e-05	2.484544e-05
2.400000e+02	2.560000e+02	3.012753e-04	1.956993e-05	1.956993e-05
2.560000e+02	2.720000e+02	2.351727e-04	1.729024e-05	1.729024e-05
2.720000e+02	2.880000e+02	1.754261e-04	1.493326e-05	1.493326e-05
2.880000e+02	3.040000e+02	1.131371e-04	1.199251e-05	1.199251e-05
3.040000e+02	3.200000e+02	1.055099e-04	1.158122e-05	1.158122e-05
3.200000e+02	3.360000e+02	8.517062e-05	1.040525e-05	1.040525e-05
3.360000e+02	3.520000e+02	6.228898e-05	8.898426e-06	8.898426e-06
3.520000e+02	3.680000e+02	5.466176e-05	8.335839e-06	8.335839e-06
3.680000e+02	3.840000e+02	3.305129e-05	6.481892e-06	6.481892e-06
3.840000e+02	4.000000e+02	2.923769e-05	6.096479e-06	6.096479e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/Pt1
ScaledBy=0.00017627357659086903
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	4.800000e+01	2.401727e-03	1.626655e-04	1.626655e-04
4.800000e+01	6.400000e+01	7.910275e-03	2.952089e-04	2.952089e-04
6.400000e+01	8.000000e+01	1.150185e-02	3.559734e-04	3.559734e-04
8.000000e+01	9.600000e+01	1.124846e-02	3.520303e-04	3.520303e-04
9.600000e+01	1.120000e+02	9.474706e-03	3.230847e-04	3.230847e-04
1.120000e+02	1.280000e+02	6.643312e-03	2.705365e-04	2.705365e-04
1.280000e+02	1.440000e+02	4.153446e-03	2.139133e-04	2.139133e-04
1.440000e+02	1.600000e+02	3.029702e-03	1.826979e-04	1.826979e-04
1.600000e+02	1.760000e+02	1.817821e-03	1.415172e-04	1.415172e-04
1.760000e+02	1.920000e+02	1.300018e-03	1.196763e-04	1.196763e-04
1.920000e+02	2.080000e+02	8.042481e-04	9.413013e-05	9.413013e-05
2.080000e+02	2.240000e+02	6.830600e-04	8.674872e-05	8.674872e-05
2.240000e+02	2.400000e+02	5.067866e-04	7.472159e-05	7.472159e-05
2.400000e+02	2.560000e+02	2.754274e-04	5.508549e-05	5.508549e-05
2.560000e+02	2.720000e+02	2.423762e-04	5.167477e-05	5.167477e-05
2.720000e+02	2.880000e+02	1.211881e-04	3.653958e-05	3.653958e-05
2.880000e+02	3.040000e+02	9.915388e-05	3.305130e-05	3.305130e-05
3.040000e+02	3.200000e+02	8.813681e-05	3.116106e-05	3.116106e-05
3.200000e+02	3.360000e+02	2.203420e-05	1.558053e-05	1.558053e-05
3.360000e+02	3.520000e+02	3.305129e-05	1.908217e-05	1.908217e-05
3.520000e+02	3.680000e+02	3.305129e-05	1.908217e-05	1.908217e-05
3.680000e+02	3.840000e+02	4.406839e-05	2.203420e-05	2.203420e-05
3.840000e+02	4.000000e+02	3.305129e-05	1.908217e-05	1.908217e-05
# END HISTO1D

