# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/PtMiss
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
RatioPlot=1
LogY=1
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	5.838639e-03	8.615160e-05	8.615160e-05
3.200000e+01	4.800000e+01	1.031963e-02	1.145354e-04	1.145354e-04
4.800000e+01	6.400000e+01	1.111667e-02	1.188762e-04	1.188762e-04
6.400000e+01	8.000000e+01	1.036285e-02	1.147750e-04	1.147750e-04
8.000000e+01	9.600000e+01	8.556475e-03	1.042930e-04	1.042930e-04
9.600000e+01	1.120000e+02	6.236525e-03	8.903872e-05	8.903872e-05
1.120000e+02	1.280000e+02	4.078021e-03	7.199997e-05	7.199997e-05
1.280000e+02	1.440000e+02	2.468678e-03	5.601957e-05	5.601957e-05
1.440000e+02	1.600000e+02	1.412307e-03	4.237134e-05	4.237134e-05
1.600000e+02	1.760000e+02	8.173838e-04	3.223447e-05	3.223447e-05
1.760000e+02	1.920000e+02	4.741590e-04	2.455102e-05	2.455102e-05
1.920000e+02	2.080000e+02	3.101737e-04	1.985683e-05	1.985683e-05
2.080000e+02	2.240000e+02	1.652565e-04	1.449395e-05	1.449395e-05
2.240000e+02	2.400000e+02	1.067811e-04	1.165077e-05	1.165077e-05
2.400000e+02	2.560000e+02	6.737381e-05	9.254503e-06	9.254503e-06
2.560000e+02	2.720000e+02	4.194972e-05	7.302509e-06	7.302509e-06
2.720000e+02	2.880000e+02	3.305129e-05	6.481892e-06	6.481892e-06
2.880000e+02	3.040000e+02	1.652565e-05	4.583390e-06	4.583390e-06
3.040000e+02	3.200000e+02	1.906806e-05	4.923351e-06	4.923351e-06
3.200000e+02	3.360000e+02	1.525444e-05	4.403579e-06	4.403579e-06
3.360000e+02	3.520000e+02	1.016963e-05	3.595507e-06	3.595507e-06
3.520000e+02	3.680000e+02	1.016963e-05	3.595507e-06	3.595507e-06
3.680000e+02	3.840000e+02	2.542408e-06	1.797753e-06	1.797753e-06
3.840000e+02	4.000000e+02	5.084815e-06	2.542408e-06	2.542408e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/PtMiss
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/PtMiss
ScaledBy=0.00017627357659086903
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	5.310241e-03	2.418748e-04	2.418748e-04
3.200000e+01	4.800000e+01	1.017980e-02	3.348908e-04	3.348908e-04
4.800000e+01	6.400000e+01	1.107218e-02	3.492612e-04	3.492612e-04
6.400000e+01	8.000000e+01	1.031201e-02	3.370584e-04	3.370584e-04
8.000000e+01	9.600000e+01	8.791644e-03	3.112208e-04	3.112208e-04
9.600000e+01	1.120000e+02	6.555175e-03	2.687359e-04	2.687359e-04
1.120000e+02	1.280000e+02	3.844968e-03	2.058164e-04	2.058164e-04
1.280000e+02	1.440000e+02	2.798343e-03	1.755837e-04	1.755837e-04
1.440000e+02	1.600000e+02	1.542394e-03	1.303561e-04	1.303561e-04
1.600000e+02	1.760000e+02	8.813681e-04	9.853993e-05	9.853993e-05
1.760000e+02	1.920000e+02	3.635643e-04	6.328840e-05	6.328840e-05
1.920000e+02	2.080000e+02	3.084787e-04	5.829701e-05	5.829701e-05
2.080000e+02	2.240000e+02	1.983078e-04	4.674159e-05	4.674159e-05
2.240000e+02	2.400000e+02	8.813681e-05	3.116106e-05	3.116106e-05
2.400000e+02	2.560000e+02	7.711969e-05	2.914850e-05	2.914850e-05
2.560000e+02	2.720000e+02	5.508549e-05	2.463498e-05	2.463498e-05
2.720000e+02	2.880000e+02	4.406839e-05	2.203420e-05	2.203420e-05
2.880000e+02	3.040000e+02	2.203420e-05	1.558053e-05	1.558053e-05
3.040000e+02	3.200000e+02	1.101710e-05	1.101710e-05	1.101710e-05
3.200000e+02	3.360000e+02	2.203420e-05	1.558053e-05	1.558053e-05
3.360000e+02	3.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.520000e+02	3.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.680000e+02	3.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.840000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

