# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/deltaRb
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
ScaledBy=0.0051543248762692872
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	7.295796e-02	4.219268e-03	4.219268e-03
7.500000e-01	1.000000e+00	1.583603e-01	6.216184e-03	6.216184e-03
1.000000e+00	1.250000e+00	1.705606e-01	6.451194e-03	6.451194e-03
1.250000e+00	1.500000e+00	2.091136e-01	7.143186e-03	7.143186e-03
1.500000e+00	1.750000e+00	2.647472e-01	8.037416e-03	8.037416e-03
1.750000e+00	2.000000e+00	3.123284e-01	8.729845e-03	8.729845e-03
2.000000e+00	2.250000e+00	3.689380e-01	9.488061e-03	9.488061e-03
2.250000e+00	2.500000e+00	4.238396e-01	1.016954e-02	1.016954e-02
2.500000e+00	2.750000e+00	4.836212e-01	1.086309e-02	1.086309e-02
2.750000e+00	3.000000e+00	5.507228e-01	1.159224e-02	1.159224e-02
3.000000e+00	3.250000e+00	5.336424e-01	1.141106e-02	1.141106e-02
3.250000e+00	3.500000e+00	2.305862e-01	7.500971e-03	7.500971e-03
3.500000e+00	3.750000e+00	1.066309e-01	5.100847e-03	5.100847e-03
3.750000e+00	4.000000e+00	6.075764e-02	3.850359e-03	3.850359e-03
4.000000e+00	4.250000e+00	2.952480e-02	2.684072e-03	2.684072e-03
4.250000e+00	4.500000e+00	1.512841e-02	1.921310e-03	1.921310e-03
4.500000e+00	4.750000e+00	6.100164e-03	1.220033e-03	1.220033e-03
4.750000e+00	5.000000e+00	1.464040e-03	5.976917e-04	5.976917e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/deltaRb
ScaledBy=0.00026588673225206064
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	7.500000e-01	1.180537e-01	1.120516e-02	1.120516e-02
7.500000e-01	1.000000e+00	1.382611e-01	1.212630e-02	1.212630e-02
1.000000e+00	1.250000e+00	2.084552e-01	1.488966e-02	1.488966e-02
1.250000e+00	1.500000e+00	2.403616e-01	1.598862e-02	1.598862e-02
1.500000e+00	1.750000e+00	2.499335e-01	1.630386e-02	1.630386e-02
1.750000e+00	2.000000e+00	3.265089e-01	1.863485e-02	1.863485e-02
2.000000e+00	2.250000e+00	3.988301e-01	2.059550e-02	2.059550e-02
2.250000e+00	2.500000e+00	4.190376e-01	2.111080e-02	2.111080e-02
2.500000e+00	2.750000e+00	5.105024e-01	2.330115e-02	2.330115e-02
2.750000e+00	3.000000e+00	4.839140e-01	2.268623e-02	2.268623e-02
3.000000e+00	3.250000e+00	4.520076e-01	2.192558e-02	2.192558e-02
3.250000e+00	3.500000e+00	2.148365e-01	1.511584e-02	1.511584e-02
3.500000e+00	3.750000e+00	1.276256e-01	1.165057e-02	1.165057e-02
3.750000e+00	4.000000e+00	5.743152e-02	7.815442e-03	7.815442e-03
4.000000e+00	4.250000e+00	3.616060e-02	6.201491e-03	6.201491e-03
4.250000e+00	4.500000e+00	6.381280e-03	2.605147e-03	2.605147e-03
4.500000e+00	4.750000e+00	7.444828e-03	2.813881e-03	2.813881e-03
4.750000e+00	5.000000e+00	4.254188e-03	2.127094e-03	2.127094e-03
# END HISTO1D

