# BEGIN PLOT
DrawOnly=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/deltaRl
RatioPlotReference=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
ScaledBy=0.0051543248762692872
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	1.903251e-02	2.155008e-03	2.155008e-03
2.500000e-01	5.000000e-01	7.124992e-02	4.169587e-03	4.169587e-03
5.000000e-01	7.500000e-01	1.127310e-01	5.244723e-03	5.244723e-03
7.500000e-01	1.000000e+00	1.527481e-01	6.105043e-03	6.105043e-03
1.000000e+00	1.250000e+00	2.052096e-01	7.076191e-03	7.076191e-03
1.250000e+00	1.500000e+00	2.388824e-01	7.634716e-03	7.634716e-03
1.500000e+00	1.750000e+00	2.732874e-01	8.166022e-03	8.166022e-03
1.750000e+00	2.000000e+00	3.137925e-01	8.750281e-03	8.750281e-03
2.000000e+00	2.250000e+00	3.772342e-01	9.594146e-03	9.594146e-03
2.250000e+00	2.500000e+00	4.131032e-01	1.003991e-02	1.003991e-02
2.500000e+00	2.750000e+00	4.623924e-01	1.062200e-02	1.062200e-02
2.750000e+00	3.000000e+00	4.989936e-01	1.103439e-02	1.103439e-02
3.000000e+00	3.250000e+00	4.750808e-01	1.076675e-02	1.076675e-02
3.250000e+00	3.500000e+00	1.930092e-01	6.862618e-03	6.862618e-03
3.500000e+00	3.750000e+00	1.012627e-01	4.970791e-03	4.970791e-03
3.750000e+00	4.000000e+00	4.514120e-02	3.318848e-03	3.318848e-03
4.000000e+00	4.250000e+00	2.781675e-02	2.605277e-03	2.605277e-03
4.250000e+00	4.500000e+00	1.024828e-02	1.581343e-03	1.581343e-03
4.500000e+00	4.750000e+00	5.856160e-03	1.195383e-03	1.195383e-03
4.750000e+00	5.000000e+00	1.708046e-03	6.455808e-04	6.455808e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/deltaRl
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_POWHEG_TTBA.yoda/ATLAS_histo/deltaRl
ScaledBy=0.00026588673225206064
Title=Rivet_ATLASH_POWHEG_TTBA
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	2.977932e-02	5.627761e-03	5.627761e-03
2.500000e-01	5.000000e-01	7.976600e-02	9.210587e-03	9.210587e-03
5.000000e-01	7.500000e-01	1.308163e-01	1.179531e-02	1.179531e-02
7.500000e-01	1.000000e+00	1.744217e-01	1.362004e-02	1.362004e-02
1.000000e+00	1.250000e+00	2.275990e-01	1.555835e-02	1.555835e-02
1.250000e+00	1.500000e+00	2.509971e-01	1.633852e-02	1.633852e-02
1.500000e+00	1.750000e+00	3.339537e-01	1.884610e-02	1.884610e-02
1.750000e+00	2.000000e+00	3.296996e-01	1.872567e-02	1.872567e-02
2.000000e+00	2.250000e+00	3.850040e-01	2.023536e-02	2.023536e-02
2.250000e+00	2.500000e+00	4.179740e-01	2.108400e-02	2.108400e-02
2.500000e+00	2.750000e+00	4.073384e-01	2.081402e-02	2.081402e-02
2.750000e+00	3.000000e+00	4.349908e-01	2.150890e-02	2.150890e-02
3.000000e+00	3.250000e+00	4.062748e-01	2.078683e-02	2.078683e-02
3.250000e+00	3.500000e+00	1.669769e-01	1.332620e-02	1.332620e-02
3.500000e+00	3.750000e+00	1.010370e-01	1.036617e-02	1.036617e-02
3.750000e+00	4.000000e+00	5.955864e-02	7.958856e-03	7.958856e-03
4.000000e+00	4.250000e+00	3.509705e-02	6.109612e-03	6.109612e-03
4.250000e+00	4.500000e+00	1.382611e-02	3.834673e-03	3.834673e-03
4.500000e+00	4.750000e+00	9.571924e-03	3.190641e-03	3.190641e-03
4.750000e+00	5.000000e+00	4.254188e-03	2.127094e-03	2.127094e-03
# END HISTO1D

