# BEGIN PLOT
RatioPlotReference=Rivet_ATLASH_FULL.yoda/ATLAS_histo/PtMiss
RatioPlot=1
DrawOnly=Rivet_ATLASH_FULL.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_WW.yoda/ATLAS_histo/PtMiss
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL.yoda/ATLAS_histo/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL.yoda/ATLAS_histo/PtMiss
ScaledBy=9.2489826119126898e-05
Title=Rivet_ATLASH_FULL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	5.130103e-03	1.778543e-04	1.778543e-04
3.000000e+01	4.500000e+01	9.896413e-03	2.470246e-04	2.470246e-04
4.500000e+01	6.000000e+01	1.085214e-02	2.586777e-04	2.586777e-04
6.000000e+01	7.500000e+01	1.086447e-02	2.588247e-04	2.588247e-04
7.500000e+01	9.000000e+01	9.310640e-03	2.396024e-04	2.396024e-04
9.000000e+01	1.050000e+02	6.986067e-03	2.075476e-04	2.075476e-04
1.050000e+02	1.200000e+02	5.222592e-03	1.794504e-04	1.794504e-04
1.200000e+02	1.350000e+02	3.335800e-03	1.434172e-04	1.434172e-04
1.350000e+02	1.500000e+02	1.849797e-03	1.067980e-04	1.067980e-04
1.500000e+02	1.650000e+02	1.257861e-03	8.806793e-05	8.806793e-05
1.650000e+02	1.800000e+02	7.090887e-04	6.612286e-05	6.612286e-05
1.800000e+02	1.950000e+02	4.131212e-04	5.047079e-05	5.047079e-05
1.950000e+02	2.100000e+02	2.713035e-04	4.090054e-05	4.090054e-05
2.100000e+02	2.250000e+02	2.219756e-04	3.699593e-05	3.699593e-05
2.250000e+02	2.400000e+02	1.171538e-04	2.687692e-05	2.687692e-05
2.400000e+02	2.550000e+02	7.399187e-05	2.135961e-05	2.135961e-05
2.550000e+02	2.700000e+02	1.233198e-05	8.720025e-06	8.720025e-06
2.700000e+02	2.850000e+02	4.316192e-05	1.631367e-05	1.631367e-05
2.850000e+02	3.000000e+02	1.849797e-05	1.067980e-05	1.067980e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW.yoda/ATLAS_histo/PtMiss
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_WW.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0089026285635543014
Title=Rivet_ATLASH_WW
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	6.307730e-03	2.104917e-04	2.104917e-04
3.000000e+01	4.500000e+01	1.108419e-02	2.790296e-04	2.790296e-04
4.500000e+01	6.000000e+01	1.161100e-02	2.855835e-04	2.855835e-04
6.000000e+01	7.500000e+01	1.151969e-02	2.844583e-04	2.844583e-04
7.500000e+01	9.000000e+01	8.414987e-03	2.431226e-04	2.431226e-04
9.000000e+01	1.050000e+02	6.448214e-03	2.128228e-04	2.128228e-04
1.050000e+02	1.200000e+02	4.088083e-03	1.694565e-04	1.694565e-04
1.200000e+02	1.350000e+02	2.711341e-03	1.380036e-04	1.380036e-04
1.350000e+02	1.500000e+02	1.861413e-03	1.143457e-04	1.143457e-04
1.500000e+02	1.650000e+02	9.552907e-04	8.191551e-05	8.191551e-05
1.650000e+02	1.800000e+02	6.181295e-04	6.589282e-05	6.589282e-05
1.800000e+02	1.950000e+02	4.355003e-04	5.530859e-05	5.530859e-05
1.950000e+02	2.100000e+02	1.826291e-04	3.581653e-05	3.581653e-05
2.100000e+02	2.250000e+02	1.615565e-04	3.368687e-05	3.368687e-05
2.250000e+02	2.400000e+02	5.619359e-05	1.986743e-05	1.986743e-05
2.400000e+02	2.550000e+02	7.726620e-05	2.329663e-05	2.329663e-05
2.550000e+02	2.700000e+02	2.809679e-05	1.404840e-05	1.404840e-05
2.700000e+02	2.850000e+02	2.107259e-05	1.216627e-05	1.216627e-05
2.850000e+02	3.000000e+02	1.404840e-05	9.933716e-06	9.933716e-06
# END HISTO1D

