# BEGIN PLOT
DrawOnly=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Phiemu Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu
RatioPlotReference=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu
ScaledBy=0.00014688476998651068
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	1.155099e-01	3.699278e-03	3.699278e-03
3.141593e-01	6.283185e-01	1.143253e-01	3.680261e-03	3.680261e-03
6.283185e-01	9.424778e-01	1.162208e-01	3.710644e-03	3.710644e-03
9.424778e-01	1.256637e+00	1.300820e-01	3.925691e-03	3.925691e-03
1.256637e+00	1.570796e+00	1.369535e-01	4.028042e-03	4.028042e-03
1.570796e+00	1.884956e+00	1.541314e-01	4.273192e-03	4.273192e-03
1.884956e+00	2.199115e+00	1.794848e-01	4.611279e-03	4.611279e-03
2.199115e+00	2.513274e+00	1.942938e-01	4.797744e-03	4.797744e-03
2.513274e+00	2.827433e+00	2.163296e-01	5.062506e-03	5.062506e-03
2.827433e+00	3.141593e+00	2.293608e-01	5.212744e-03	5.212744e-03
3.141593e+00	3.455752e+00	2.319679e-01	5.242296e-03	5.242296e-03
3.455752e+00	3.769911e+00	2.064964e-01	4.946111e-03	4.946111e-03
3.769911e+00	4.084070e+00	1.954785e-01	4.812350e-03	4.812350e-03
4.084070e+00	4.398230e+00	1.767594e-01	4.576129e-03	4.576129e-03
4.398230e+00	4.712389e+00	1.547242e-01	4.281409e-03	4.281409e-03
4.712389e+00	5.026548e+00	1.426401e-01	4.110819e-03	4.110819e-03
5.026548e+00	5.340708e+00	1.326881e-01	3.964813e-03	3.964813e-03
5.340708e+00	5.654867e+00	1.239215e-01	3.831607e-03	3.831607e-03
5.654867e+00	5.969026e+00	1.182349e-01	3.742660e-03	3.742660e-03
5.969026e+00	6.283185e+00	1.134960e-01	3.666890e-03	3.666890e-03
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Phiemu
ScaledBy=0.0065698505323603723
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	1.032075e-01	5.054095e-03	5.054095e-03
3.141593e-01	6.283185e-01	9.702005e-02	4.900253e-03	4.900253e-03
6.283185e-01	9.424778e-01	1.009800e-01	4.999257e-03	4.999257e-03
9.424778e-01	1.256637e+00	1.200376e-01	5.450626e-03	5.450626e-03
1.256637e+00	1.570796e+00	1.358777e-01	5.799117e-03	5.799117e-03
1.570796e+00	1.884956e+00	1.618647e-01	6.329411e-03	6.329411e-03
1.884956e+00	2.199115e+00	1.794377e-01	6.664150e-03	6.664150e-03
2.199115e+00	2.513274e+00	2.009702e-01	7.052673e-03	7.052673e-03
2.513274e+00	2.827433e+00	2.272053e-01	7.498892e-03	7.498892e-03
2.827433e+00	3.141593e+00	2.559145e-01	7.958562e-03	7.958562e-03
3.141593e+00	3.455752e+00	2.685378e-01	8.152497e-03	8.152497e-03
3.455752e+00	3.769911e+00	2.220078e-01	7.412624e-03	7.412624e-03
3.769911e+00	4.084070e+00	2.108703e-01	7.224296e-03	7.224296e-03
4.084070e+00	4.398230e+00	1.856246e-01	6.778054e-03	6.778054e-03
4.398230e+00	4.712389e+00	1.534502e-01	6.162708e-03	6.162708e-03
4.712389e+00	5.026548e+00	1.299377e-01	5.670944e-03	5.670944e-03
5.026548e+00	5.340708e+00	1.173148e-01	5.388446e-03	5.388446e-03
5.340708e+00	5.654867e+00	1.136026e-01	5.302517e-03	5.302517e-03
5.654867e+00	5.969026e+00	1.002376e-01	4.980848e-03	4.980848e-03
5.969026e+00	6.283185e+00	9.900012e-02	4.950006e-03	4.950006e-03
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{109618}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Phiemu
ScaledBy=0.0051543248762692872
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	1.019415e-01	4.449090e-03	4.449090e-03
3.141593e-01	6.283185e-01	1.100968e-01	4.623633e-03	4.623633e-03
6.283185e-01	9.424778e-01	1.089317e-01	4.599103e-03	4.599103e-03
9.424778e-01	1.256637e+00	1.203881e-01	4.834902e-03	4.834902e-03
1.256637e+00	1.570796e+00	1.291260e-01	5.007292e-03	5.007292e-03
1.570796e+00	1.884956e+00	1.487371e-01	5.374092e-03	5.374092e-03
1.884956e+00	2.199115e+00	1.798055e-01	5.908776e-03	5.908776e-03
2.199115e+00	2.513274e+00	2.027181e-01	6.273968e-03	6.273968e-03
2.513274e+00	2.827433e+00	2.328151e-01	6.723597e-03	6.723597e-03
2.827433e+00	3.141593e+00	2.572803e-01	7.068034e-03	7.068034e-03
