# BEGIN PLOT
DrawOnly=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Pt1 Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Pt1 Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
RatioPlotReference=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Pt1
RatioPlot=1
LogY=1
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Pt1
ScaledBy=9.1029662776149012e-05
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	2.331196e-03	5.987275e-05	5.987275e-05
4.500000e+01	6.000000e+01	8.077687e-03	1.114508e-04	1.114508e-04
6.000000e+01	7.500000e+01	1.094401e-02	1.297263e-04	1.297263e-04
7.500000e+01	9.000000e+01	1.125771e-02	1.315724e-04	1.315724e-04
9.000000e+01	1.050000e+02	9.656933e-03	1.218595e-04	1.218595e-04
1.050000e+02	1.200000e+02	7.062787e-03	1.042144e-04	1.042144e-04
1.200000e+02	1.350000e+02	4.986853e-03	8.756953e-05	8.756953e-05
1.350000e+02	1.500000e+02	3.406068e-03	7.237130e-05	7.237130e-05
1.500000e+02	1.650000e+02	2.566468e-03	6.282142e-05	6.282142e-05
1.650000e+02	1.800000e+02	1.862189e-03	5.351205e-05	5.351205e-05
1.800000e+02	1.950000e+02	1.145607e-03	4.197181e-05	4.197181e-05
1.950000e+02	2.100000e+02	8.811180e-04	3.680924e-05	3.680924e-05
2.100000e+02	2.250000e+02	6.104781e-04	3.063902e-05	3.063902e-05
2.250000e+02	2.400000e+02	4.351771e-04	2.586859e-05	2.586859e-05
2.400000e+02	2.550000e+02	2.967815e-04	2.136280e-05	2.136280e-05
2.550000e+02	2.700000e+02	2.137442e-04	1.812955e-05	1.812955e-05
2.700000e+02	2.850000e+02	1.999047e-04	1.753280e-05	1.753280e-05
2.850000e+02	3.000000e+02	1.506973e-04	1.522273e-05	1.522273e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/Pt1
ScaledBy=0.0022271237432898465
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	2.488205e-03	6.612330e-05	6.612330e-05
4.500000e+01	6.000000e+01	7.768613e-03	1.168377e-04	1.168377e-04
6.000000e+01	7.500000e+01	1.098781e-02	1.389527e-04	1.389527e-04
7.500000e+01	9.000000e+01	1.133750e-02	1.411465e-04	1.411465e-04
9.000000e+01	1.050000e+02	9.350100e-03	1.281798e-04	1.281798e-04
1.050000e+02	1.200000e+02	7.292407e-03	1.132001e-04	1.132001e-04
1.200000e+02	1.350000e+02	5.109957e-03	9.475892e-05	9.475892e-05
1.350000e+02	1.500000e+02	3.646204e-03	8.004457e-05	8.004457e-05
1.500000e+02	1.650000e+02	2.335328e-03	6.405977e-05	6.405977e-05
1.650000e+02	1.800000e+02	1.671103e-03	5.418925e-05	5.418925e-05
1.800000e+02	1.950000e+02	1.259917e-03	4.705247e-05	4.705247e-05
1.950000e+02	2.100000e+02	9.242907e-04	4.030099e-05	4.030099e-05
2.100000e+02	2.250000e+02	6.044791e-04	3.259133e-05	3.259133e-05
2.250000e+02	2.400000e+02	4.516021e-04	2.817017e-05	2.817017e-05
2.400000e+02	2.550000e+02	3.250833e-04	2.390060e-05	2.390060e-05
2.550000e+02	2.700000e+02	2.214081e-04	1.972460e-05	1.972460e-05
2.700000e+02	2.850000e+02	2.126220e-04	1.932927e-05	1.932927e-05
2.850000e+02	3.000000e+02	1.300333e-04	1.511606e-05	1.511606e-05
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{109618}}
LineStyle=solid
Path=Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	2.119351e-03	5.360723e-05	5.360723e-05
