# BEGIN PLOT
DrawOnly=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/PtMiss Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
RatioPlotReference=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss
RatioPlot=1
LogY=1
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=9.1029662776149012e-05
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	5.112946e-03	8.866972e-05	8.866972e-05
3.000000e+01	4.500000e+01	9.789180e-03	1.226910e-04	1.226910e-04
4.500000e+01	6.000000e+01	1.104858e-02	1.303446e-04	1.303446e-04
6.000000e+01	7.500000e+01	1.080869e-02	1.289218e-04	1.289218e-04
7.500000e+01	9.000000e+01	9.380140e-03	1.201004e-04	1.201004e-04
9.000000e+01	1.050000e+02	7.135060e-03	1.047463e-04	1.047463e-04
1.050000e+02	1.200000e+02	5.175993e-03	8.921475e-05	8.921475e-05
1.200000e+02	1.350000e+02	3.233842e-03	7.051786e-05	7.051786e-05
1.350000e+02	1.500000e+02	1.914471e-03	5.425806e-05	5.425806e-05
1.500000e+02	1.650000e+02	1.168673e-03	4.239224e-05	4.239224e-05
1.650000e+02	1.800000e+02	6.719873e-04	3.214551e-05	3.214551e-05
1.800000e+02	1.950000e+02	4.444035e-04	2.614138e-05	2.614138e-05
1.950000e+02	2.100000e+02	2.691024e-04	2.034223e-05	2.034223e-05
2.100000e+02	2.250000e+02	1.845274e-04	1.684497e-05	1.684497e-05
