# BEGIN PLOT
DrawOnly=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRb Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
RatioPlotReference=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/deltaRb
ScaledBy=0.00014688476998651068
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.009826e-02	1.933956e-03	1.933956e-03
6.000000e-01	8.000000e-01	1.094238e-01	4.512564e-03	4.512564e-03
8.000000e-01	1.000000e+00	1.578086e-01	5.419167e-03	5.419167e-03
1.000000e+00	1.200000e+00	1.911196e-01	5.963757e-03	5.963757e-03
1.200000e+00	1.400000e+00	2.192199e-01	6.387153e-03	6.387153e-03
1.400000e+00	1.600000e+00	2.376433e-01	6.650130e-03	6.650130e-03
1.600000e+00	1.800000e+00	2.776537e-01	7.188183e-03	7.188183e-03
1.800000e+00	2.000000e+00	3.292020e-01	7.827059e-03	7.827059e-03
2.000000e+00	2.200000e+00	3.647461e-01	8.238776e-03	8.238776e-03
2.200000e+00	2.400000e+00	4.017791e-01	8.646911e-03	8.646911e-03
2.400000e+00	2.600000e+00	4.546300e-01	9.198064e-03	9.198064e-03
2.600000e+00	2.800000e+00	4.959432e-01	9.606900e-03	9.606900e-03
2.800000e+00	3.000000e+00	5.519575e-01	1.013492e-02	1.013492e-02
3.000000e+00	3.200000e+00	5.409780e-01	1.003361e-02	1.003361e-02
3.200000e+00	3.400000e+00	2.834227e-01	7.262474e-03	7.262474e-03
3.400000e+00	3.600000e+00	1.542727e-01	5.358113e-03	5.358113e-03
3.600000e+00	3.800000e+00	9.025605e-02	4.098317e-03	4.098317e-03
3.800000e+00	4.000000e+00	5.582850e-02	3.223260e-03	3.223260e-03
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/deltaRb
ScaledBy=0.0065698505323603723
Title=Rivet_ATLASH_WW_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.488143e-02	3.110178e-03	3.110178e-03
