# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/Pt1
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	2.119351e-03	5.360723e-05	5.360723e-05
4.500000e+01	6.000000e+01	7.067213e-03	9.789175e-05	9.789175e-05
6.000000e+01	7.500000e+01	1.098727e-02	1.220581e-04	1.220581e-04
7.500000e+01	9.000000e+01	1.140761e-02	1.243711e-04	1.243711e-04
9.000000e+01	1.050000e+02	9.609620e-03	1.141498e-04	1.141498e-04
1.050000e+02	1.200000e+02	7.608240e-03	1.015697e-04	1.015697e-04
1.200000e+02	1.350000e+02	5.144477e-03	8.352040e-05	8.352040e-05
1.350000e+02	1.500000e+02	3.631236e-03	7.016964e-05	7.016964e-05
1.500000e+02	1.650000e+02	2.631900e-03	5.973882e-05	5.973882e-05
1.650000e+02	1.800000e+02	1.780363e-03	4.913333e-05	4.913333e-05
1.800000e+02	1.950000e+02	1.208152e-03	4.047461e-05	4.047461e-05
1.950000e+02	2.100000e+02	9.288260e-04	3.548862e-05	3.548862e-05
2.100000e+02	2.250000e+02	6.386527e-04	2.942756e-05	2.942756e-05
2.250000e+02	2.400000e+02	4.745827e-04	2.536751e-05	2.536751e-05
2.400000e+02	2.550000e+02	3.037329e-04	2.029401e-05	2.029401e-05
2.550000e+02	2.700000e+02	2.413592e-04	1.809064e-05	1.809064e-05
2.700000e+02	2.850000e+02	1.789855e-04	1.557869e-05	1.557869e-05
2.850000e+02	3.000000e+02	1.193237e-04	1.271994e-05	1.271994e-05
# END HISTO1D

