# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0017185625777299746
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	5.075323e-03	8.295715e-05	8.295715e-05
3.000000e+01	4.500000e+01	9.912000e-03	1.159318e-04	1.159318e-04
4.500000e+01	6.000000e+01	1.115405e-02	1.229811e-04	1.229811e-04
6.000000e+01	7.500000e+01	1.071743e-02	1.205500e-04	1.205500e-04
7.500000e+01	9.000000e+01	9.271993e-03	1.121265e-04	1.121265e-04
9.000000e+01	1.050000e+02	7.242133e-03	9.909578e-05	9.909578e-05
1.050000e+02	1.200000e+02	5.022441e-03	8.252383e-05	8.252383e-05
1.200000e+02	1.350000e+02	3.232586e-03	6.620594e-05	6.620594e-05
1.350000e+02	1.500000e+02	1.934941e-03	5.122192e-05	5.122192e-05
1.500000e+02	1.650000e+02	1.153914e-03	3.955566e-05	3.955566e-05
1.650000e+02	1.800000e+02	7.308573e-04	3.148026e-05	3.148026e-05
1.800000e+02	1.950000e+02	4.311923e-04	2.418007e-05	2.418007e-05
1.950000e+02	2.100000e+02	2.684782e-04	1.907992e-05	1.907992e-05
2.100000e+02	2.250000e+02	1.640700e-04	1.491546e-05	1.491546e-05
2.250000e+02	2.400000e+02	1.030523e-04	1.182090e-05	1.182090e-05
2.400000e+02	2.550000e+02	6.915347e-05	9.683425e-06	9.683425e-06
2.550000e+02	2.700000e+02	4.067852e-05	7.426846e-06	7.426846e-06
2.700000e+02	2.850000e+02	3.254281e-05	6.642774e-06	6.642774e-06
2.850000e+02	3.000000e+02	2.169521e-05	5.423802e-06	5.423802e-06
# END HISTO1D

