# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRb
ScaledBy=0.0051543248762692872
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.470567e-02	2.745074e-03	2.745074e-03
6.000000e-01	8.000000e-01	1.030928e-01	5.607508e-03	5.607508e-03
8.000000e-01	1.000000e+00	1.613494e-01	7.015189e-03	7.015189e-03
1.000000e+00	1.200000e+00	1.671445e-01	7.140060e-03	7.140060e-03
1.200000e+00	1.400000e+00	1.939853e-01	7.692015e-03	7.692015e-03
1.400000e+00	1.600000e+00	2.336363e-01	8.441623e-03	8.441623e-03
1.600000e+00	1.800000e+00	2.790826e-01	9.226184e-03	9.226184e-03
1.800000e+00	2.000000e+00	3.220887e-01	9.911594e-03	9.911594e-03
2.000000e+00	2.200000e+00	3.556396e-01	1.041504e-02	1.041504e-02
2.200000e+00	2.400000e+00	4.166413e-01	1.127293e-02	1.127293e-02
2.400000e+00	2.600000e+00	4.434819e-01	1.163038e-02	1.163038e-02
2.600000e+00	2.800000e+00	5.163790e-01	1.254989e-02	1.254989e-02
2.800000e+00	3.000000e+00	5.517600e-01	1.297271e-02	1.297271e-02
3.000000e+00	3.200000e+00	5.752455e-01	1.324593e-02	1.324593e-02
3.200000e+00	3.400000e+00	2.857927e-01	9.336441e-03	9.336441e-03
3.400000e+00	3.600000e+00	1.549442e-01	6.874536e-03	6.874536e-03
3.600000e+00	3.800000e+00	9.302750e-02	5.326739e-03	5.326739e-03
3.800000e+00	4.000000e+00	5.551150e-02	4.114786e-03	4.114786e-03
# END HISTO1D

