# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/deltaRl
ScaledBy=0.0051543248762692872
Title=Rivet_ATLASH_TTBA_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.525041e-02	2.156734e-03	2.156734e-03
2.000000e-01	4.000000e-01	5.886660e-02	4.237310e-03	4.237310e-03
4.000000e-01	6.000000e-01	8.906240e-02	5.211984e-03	5.211984e-03
6.000000e-01	8.000000e-01	1.244433e-01	6.160864e-03	6.160864e-03
8.000000e-01	1.000000e+00	1.570793e-01	6.921737e-03	6.921737e-03
1.000000e+00	1.200000e+00	2.107607e-01	8.017715e-03	8.017715e-03
1.200000e+00	1.400000e+00	2.138108e-01	8.075522e-03	8.075522e-03
1.400000e+00	1.600000e+00	2.644421e-01	8.980926e-03	8.980926e-03
1.600000e+00	1.800000e+00	2.851827e-01	9.326472e-03	9.326472e-03
1.800000e+00	2.000000e+00	3.147685e-01	9.798315e-03	9.798315e-03
2.000000e+00	2.200000e+00	3.821753e-01	1.079660e-02	1.079660e-02
2.200000e+00	2.400000e+00	3.910206e-01	1.092083e-02	1.092083e-02
2.400000e+00	2.600000e+00	4.340267e-01	1.150573e-02	1.150573e-02
2.600000e+00	2.800000e+00	4.736778e-01	1.201980e-02	1.201980e-02
2.800000e+00	3.000000e+00	5.087535e-01	1.245689e-02	1.245689e-02
3.000000e+00	3.200000e+00	5.069235e-01	1.243446e-02	1.243446e-02
3.200000e+00	3.400000e+00	2.446166e-01	8.637712e-03	8.637712e-03
3.400000e+00	3.600000e+00	1.433538e-01	6.612420e-03	6.612420e-03
3.600000e+00	3.800000e+00	8.021715e-02	4.946402e-03	4.946402e-03
3.800000e+00	4.000000e+00	4.300616e-02	3.621772e-03	3.621772e-03
# END HISTO1D

