# BEGIN PLOT
RatioPlotReference=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/Phiemu
RatioPlot=1
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/Phiemu /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/WWbBSherpa2DScatter.yoda/ATLAS_sherpa/Phiemu
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/Phiemu
ErrorBandColor=Gray
ErrorBandOpacity=0.1
ErrorBands=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/Phiemu
Title=emubB_homemade_scales
XLabel=$\phi_{e^+mu^-}$
YLabel=$\mathrm{d}\sigma/{d\phi_{e^+mu^-}}$ [pb]
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	2.404641e-02	6.944940e-03	8.443650e-03
2.513274e-01	5.026548e-01	2.421994e-02	6.835620e-03	9.631810e-03
5.026548e-01	7.539822e-01	2.529738e-02	6.969240e-03	1.254910e-02
7.539822e-01	1.005310e+00	2.706999e-02	7.995120e-03	9.906990e-03
1.005310e+00	1.256637e+00	2.913131e-02	8.393710e-03	1.226690e-02
1.256637e+00	1.507964e+00	3.220989e-02	9.378220e-03	1.252130e-02
1.507964e+00	1.759292e+00	3.552663e-02	9.479660e-03	1.683921e-02
1.759293e+00	2.010620e+00	3.999826e-02	1.132009e-02	1.643329e-02
2.010619e+00	2.261947e+00	4.406192e-02	1.264891e-02	1.833687e-02
2.261948e+00	2.513275e+00	4.835409e-02	1.350486e-02	2.122713e-02
2.513274e+00	2.764602e+00	5.274045e-02	1.535467e-02	2.299068e-02
2.764601e+00	3.015928e+00	5.576515e-02	1.677057e-02	2.725768e-02
3.015929e+00	3.267256e+00	5.533169e-02	1.571437e-02	2.993531e-02
3.267256e+00	3.518584e+00	5.530087e-02	1.629245e-02	2.590640e-02
3.518585e+00	3.769912e+00	5.205765e-02	1.460349e-02	2.618059e-02
3.769911e+00	4.021239e+00	4.768638e-02	1.345710e-02	2.497896e-02
4.021238e+00	4.272565e+00	4.410712e-02	1.264435e-02	2.179211e-02
4.272566e+00	4.523893e+00	3.957684e-02	1.142798e-02	1.904414e-02
4.523893e+00	4.775221e+00	3.597063e-02	1.014470e-02	1.386923e-02
4.775221e+00	5.026548e+00	3.227603e-02	9.375460e-03	1.461607e-02
5.026548e+00	5.277876e+00	2.913103e-02	8.003590e-03	1.389652e-02
5.277876e+00	5.529203e+00	2.683018e-02	7.697550e-03	1.221504e-02
5.529203e+00	5.780530e+00	2.534293e-02	7.406300e-03	8.832750e-03
5.780530e+00	6.031858e+00	2.438567e-02	6.585320e-03	8.899140e-03
6.031858e+00	6.283184e+00	2.389235e-02	7.105310e-03	8.167860e-03
# END HISTO1D

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/WWbBSherpa2DScatter.yoda/ATLAS_sherpa/Phiemu
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/WWbBSherpa2DScatter.yoda/ATLAS_sherpa/Phiemu
Title=WWbBSherpa2DScatter
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	2.350780e-02	0.000000e+00	0.000000e+00
2.513274e-01	5.026548e-01	2.399362e-02	0.000000e+00	0.000000e+00
5.026548e-01	7.539822e-01	2.519904e-02	0.000000e+00	0.000000e+00
7.539822e-01	1.005310e+00	2.692378e-02	0.000000e+00	0.000000e+00
1.005310e+00	1.256637e+00	2.921006e-02	0.000000e+00	0.000000e+00
1.256637e+00	1.507964e+00	3.239487e-02	0.000000e+00	0.000000e+00
1.507964e+00	1.759292e+00	3.576886e-02	0.000000e+00	0.000000e+00
1.759293e+00	2.010620e+00	3.980391e-02	0.000000e+00	0.000000e+00
2.010619e+00	2.261947e+00	4.400203e-02	0.000000e+00	0.000000e+00
2.261948e+00	2.513275e+00	4.863661e-02	0.000000e+00	0.000000e+00
2.513274e+00	2.764602e+00	5.243435e-02	0.000000e+00	0.000000e+00
2.764601e+00	3.015928e+00	5.502621e-02	0.000000e+00	0.000000e+00
3.015929e+00	3.267256e+00	5.609966e-02	0.000000e+00	0.000000e+00
3.267256e+00	3.518584e+00	5.535595e-02	0.000000e+00	0.000000e+00
3.518585e+00	3.769912e+00	5.262130e-02	0.000000e+00	0.000000e+00
3.769911e+00	4.021239e+00	4.858045e-02	0.000000e+00	0.000000e+00
4.021238e+00	4.272565e+00	4.425800e-02	0.000000e+00	0.000000e+00
4.272566e+00	4.523893e+00	3.998987e-02	0.000000e+00	0.000000e+00
4.523893e+00	4.775221e+00	3.580954e-02	0.000000e+00	0.000000e+00
4.775221e+00	5.026548e+00	3.221738e-02	0.000000e+00	0.000000e+00
5.026548e+00	5.277876e+00	2.936368e-02	0.000000e+00	0.000000e+00
5.277876e+00	5.529203e+00	2.691814e-02	0.000000e+00	0.000000e+00
5.529203e+00	5.780530e+00	2.531653e-02	0.000000e+00	0.000000e+00
5.780530e+00	6.031858e+00	2.414263e-02	0.000000e+00	0.000000e+00
6.031858e+00	6.283184e+00	2.344906e-02	0.000000e+00	0.000000e+00
# END HISTO1D

