# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Eta1
YLabel=$\mathrm{d}\sigma/\mathrm{d\eta}$ [pb]
XLabel=$1^\mathrm{st}$ jet $\eta$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Eta1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Eta1
ScaledBy=5.085952598921778e-05
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.250000e+00	5.757300e-02	3.422359e-03	3.422359e-03
-2.250000e+00	-2.000000e+00	7.913744e-02	4.012427e-03	4.012427e-03
-2.000000e+00	-1.750000e+00	1.218594e-01	4.979041e-03	4.979041e-03
-1.750000e+00	-1.500000e+00	1.525786e-01	5.571383e-03	5.571383e-03
-1.500000e+00	-1.250000e+00	1.973350e-01	6.336044e-03	6.336044e-03
-1.250000e+00	-1.000000e+00	2.345641e-01	6.907914e-03	6.907914e-03
-1.000000e+00	-7.500000e-01	2.634524e-01	7.320945e-03	7.320945e-03
-7.500000e-01	-5.000000e-01	2.807446e-01	7.557390e-03	7.557390e-03
-5.000000e-01	-2.500000e-01	3.106500e-01	7.949720e-03	7.949720e-03
-2.500000e-01	0.000000e+00	3.151256e-01	8.006782e-03	8.006782e-03
0.000000e+00	2.500000e-01	3.130912e-01	7.980895e-03	7.980895e-03
2.500000e-01	5.000000e-01	3.092259e-01	7.931478e-03	7.931478e-03
5.000000e-01	7.500000e-01	2.768792e-01	7.505184e-03	7.505184e-03
7.500000e-01	1.000000e+00	2.479910e-01	7.102875e-03	7.102875e-03
1.000000e+00	1.250000e+00	2.250026e-01	6.765656e-03	6.765656e-03
1.250000e+00	1.500000e+00	1.950972e-01	6.300015e-03	6.300015e-03
1.500000e+00	1.750000e+00	1.635642e-01	5.768466e-03	5.768466e-03
1.750000e+00	2.000000e+00	1.108738e-01	4.749311e-03	4.749311e-03
2.000000e+00	2.250000e+00	8.035804e-02	4.043252e-03	4.043252e-03
2.250000e+00	2.500000e+00	5.981080e-02	3.488237e-03	3.488237e-03
# END HISTO1D

