# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/HT
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/HT
ScaledBy=0.00036501109877905573
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	1.573868e-03	4.925560e-05	4.925560e-05
1.800000e+02	2.400000e+02	2.632877e-03	6.370692e-05	6.370692e-05
2.400000e+02	3.000000e+02	3.443705e-03	7.285919e-05	7.285919e-05
3.000000e+02	3.600000e+02	2.916513e-03	6.705069e-05	6.705069e-05
3.600000e+02	4.200000e+02	2.145763e-03	5.751251e-05	5.751251e-05
4.200000e+02	4.800000e+02	1.375015e-03	4.603892e-05	4.603892e-05
4.800000e+02	5.400000e+02	8.786533e-04	3.680274e-05	3.680274e-05
5.400000e+02	6.000000e+02	5.857688e-04	3.004931e-05	3.004931e-05
6.000000e+02	6.600000e+02	3.807498e-04	2.422653e-05	2.422653e-05
6.600000e+02	7.200000e+02	2.651375e-04	2.021654e-05	2.021654e-05
7.200000e+02	7.800000e+02	1.495252e-04	1.518199e-05	1.518199e-05
7.800000e+02	8.400000e+02	1.048218e-04	1.271151e-05	1.271151e-05
8.400000e+02	9.000000e+02	6.936737e-05	1.034068e-05	1.034068e-05
9.000000e+02	9.600000e+02	4.007892e-05	7.860124e-06	7.860124e-06
9.600000e+02	1.020000e+03	2.620545e-05	6.355756e-06	6.355756e-06
1.020000e+03	1.080000e+03	2.928845e-05	6.719230e-06	6.719230e-06
1.080000e+03	1.140000e+03	1.387347e-05	4.624491e-06	4.624491e-06
1.140000e+03	1.200000e+03	7.707485e-06	3.446892e-06	3.446892e-06
# END HISTO1D

