# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Mlb
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Mlb
ScaledBy=0.0012685631629701199
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	3.616200e-04	1.205400e-04	1.205400e-04
2.400000e+01	3.200000e+01	2.049180e-03	2.869426e-04	2.869426e-04
3.200000e+01	4.000000e+01	4.058181e-03	4.038040e-04	4.038040e-04
4.000000e+01	4.800000e+01	5.223401e-03	4.581225e-04	4.581225e-04
4.800000e+01	5.600000e+01	6.629701e-03	5.161215e-04	5.161215e-04
5.600000e+01	6.400000e+01	8.960141e-03	6.000155e-04	6.000155e-04
6.400000e+01	7.200000e+01	8.759241e-03	5.932507e-04	5.932507e-04
7.200000e+01	8.000000e+01	1.129058e-02	6.735396e-04	6.735396e-04
8.000000e+01	8.800000e+01	1.153166e-02	6.806924e-04	6.806924e-04
8.800000e+01	9.600000e+01	1.193346e-02	6.924497e-04	6.924497e-04
9.600000e+01	1.040000e+02	1.145130e-02	6.783166e-04	6.783166e-04
1.040000e+02	1.120000e+02	1.056734e-02	6.516101e-04	6.516101e-04
1.120000e+02	1.200000e+02	9.482481e-03	6.172569e-04	6.172569e-04
1.200000e+02	1.280000e+02	6.790421e-03	5.223401e-04	5.223401e-04
1.280000e+02	1.360000e+02	5.826101e-03	4.838314e-04	4.838314e-04
1.360000e+02	1.440000e+02	3.857280e-03	3.936821e-04	3.936821e-04
1.440000e+02	1.520000e+02	2.089360e-03	2.897422e-04	2.897422e-04
1.520000e+02	1.600000e+02	1.125040e-03	2.126126e-04	2.126126e-04
1.600000e+02	1.680000e+02	6.027001e-04	1.556165e-04	1.556165e-04
1.680000e+02	1.760000e+02	5.223401e-04	1.448711e-04	1.448711e-04
1.760000e+02	1.840000e+02	2.812600e-04	1.063063e-04	1.063063e-04
1.840000e+02	1.920000e+02	1.205400e-04	6.959381e-05	6.959381e-05
1.920000e+02	2.000000e+02	2.009000e-04	8.984522e-05	8.984522e-05
# END HISTO1D

