# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Phiemu
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Phiemu
ScaledBy=0.00025278058645096058
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	2.397784e-01	1.388999e-02	1.388999e-02
3.141593e-01	6.283185e-01	2.083981e-01	1.294923e-02	1.294923e-02
6.283185e-01	9.424778e-01	2.317321e-01	1.365495e-02	1.365495e-02
9.424778e-01	1.256637e+00	2.703543e-01	1.474904e-02	1.474904e-02
1.256637e+00	1.570796e+00	2.816192e-01	1.505318e-02	1.505318e-02
1.570796e+00	1.884956e+00	3.113894e-01	1.582881e-02	1.582881e-02
1.884956e+00	2.199115e+00	3.604726e-01	1.703073e-02	1.703073e-02
2.199115e+00	2.513274e+00	3.773697e-01	1.742531e-02	1.742531e-02
2.513274e+00	2.827433e+00	4.248425e-01	1.848890e-02	1.848890e-02
2.827433e+00	3.141593e+00	4.771419e-01	1.959387e-02	1.959387e-02
3.141593e+00	3.455752e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.455752e+00	3.769911e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.769911e+00	4.084070e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.084070e+00	4.398230e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.398230e+00	4.712389e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.712389e+00	5.026548e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e+00	5.340708e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.340708e+00	5.654867e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.654867e+00	5.969026e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.969026e+00	6.283185e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

