# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/Pt1
ScaledBy=5.4692627433821923e-05
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	4.500000e+01	1.341793e-03	6.994576e-05	6.994576e-05
4.500000e+01	6.000000e+01	5.994312e-03	1.478388e-04	1.478388e-04
6.000000e+01	7.500000e+01	1.012907e-02	1.921780e-04	1.921780e-04
7.500000e+01	9.000000e+01	1.151827e-02	2.049332e-04	2.049332e-04
9.000000e+01	1.050000e+02	9.917593e-03	1.901612e-04	1.901612e-04
1.050000e+02	1.200000e+02	7.759060e-03	1.681990e-04	1.681990e-04
1.200000e+02	1.350000e+02	5.498432e-03	1.415918e-04	1.415918e-04
1.350000e+02	1.500000e+02	4.178517e-03	1.234326e-04	1.234326e-04
1.500000e+02	1.650000e+02	2.927879e-03	1.033226e-04	1.033226e-04
1.650000e+02	1.800000e+02	2.140305e-03	8.833982e-05	8.833982e-05
1.800000e+02	1.950000e+02	1.502224e-03	7.400928e-05	7.400928e-05
1.950000e+02	2.100000e+02	1.119376e-03	6.388615e-05	6.388615e-05
2.100000e+02	2.250000e+02	7.985127e-04	5.395847e-05	5.395847e-05
2.250000e+02	2.400000e+02	4.594181e-04	4.092821e-05	4.092821e-05
2.400000e+02	2.550000e+02	2.625246e-04	3.093882e-05	3.093882e-05
2.550000e+02	2.700000e+02	2.333552e-04	2.916940e-05	2.916940e-05
2.700000e+02	2.850000e+02	1.604317e-04	2.418599e-05	2.418599e-05
2.850000e+02	3.000000e+02	1.859549e-04	2.603890e-05	2.603890e-05
# END HISTO1D

