# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/PtMiss
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T, miss}}$ [pb]
XLabel=Missing transverse momentum $\mathrm{p}_\mathrm{T, miss}$ [GeV]
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/PtMiss
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/PtMiss
ScaledBy=0.0089026285635543014
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	3.000000e+01	6.307730e-03	2.104917e-04	2.104917e-04
3.000000e+01	4.500000e+01	1.108419e-02	2.790296e-04	2.790296e-04
4.500000e+01	6.000000e+01	1.161100e-02	2.855835e-04	2.855835e-04
6.000000e+01	7.500000e+01	1.151969e-02	2.844583e-04	2.844583e-04
7.500000e+01	9.000000e+01	8.414987e-03	2.431226e-04	2.431226e-04
9.000000e+01	1.050000e+02	6.448214e-03	2.128228e-04	2.128228e-04
1.050000e+02	1.200000e+02	4.088083e-03	1.694565e-04	1.694565e-04
1.200000e+02	1.350000e+02	2.711341e-03	1.380036e-04	1.380036e-04
1.350000e+02	1.500000e+02	1.861413e-03	1.143457e-04	1.143457e-04
1.500000e+02	1.650000e+02	9.552907e-04	8.191551e-05	8.191551e-05
1.650000e+02	1.800000e+02	6.181295e-04	6.589282e-05	6.589282e-05
1.800000e+02	1.950000e+02	4.355003e-04	5.530859e-05	5.530859e-05
1.950000e+02	2.100000e+02	1.826291e-04	3.581653e-05	3.581653e-05
2.100000e+02	2.250000e+02	1.615565e-04	3.368687e-05	3.368687e-05
2.250000e+02	2.400000e+02	5.619359e-05	1.986743e-05	1.986743e-05
2.400000e+02	2.550000e+02	7.726620e-05	2.329663e-05	2.329663e-05
2.550000e+02	2.700000e+02	2.809679e-05	1.404840e-05	1.404840e-05
2.700000e+02	2.850000e+02	2.107259e-05	1.216627e-05	1.216627e-05
2.850000e+02	3.000000e+02	1.404840e-05	9.933716e-06	9.933716e-06
# END HISTO1D

