# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRb
LogY=1
LegendXPos=0.1
XLabel=Separation of the two b-jets $\Delta \mathrm{R}_{\mathrm{bb}}$
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRb
ScaledBy=0.00058242325855962878
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	1.844746e-02	3.689492e-03	3.689492e-03
6.000000e-01	8.000000e-01	1.099468e-01	9.007199e-03	9.007199e-03
8.000000e-01	1.000000e+00	1.534829e-01	1.064212e-02	1.064212e-02
1.000000e+00	1.200000e+00	2.058737e-01	1.232533e-02	1.232533e-02
1.200000e+00	1.400000e+00	2.427686e-01	1.338427e-02	1.338427e-02
1.400000e+00	1.600000e+00	2.272727e-01	1.295007e-02	1.295007e-02
1.600000e+00	1.800000e+00	2.708088e-01	1.413610e-02	1.413610e-02
1.800000e+00	2.000000e+00	3.084416e-01	1.508637e-02	1.508637e-02
2.000000e+00	2.200000e+00	3.873967e-01	1.690738e-02	1.690738e-02
2.200000e+00	2.400000e+00	4.014168e-01	1.721060e-02	1.721060e-02
2.400000e+00	2.600000e+00	4.493801e-01	1.820981e-02	1.820981e-02
2.600000e+00	2.800000e+00	4.803719e-01	1.882726e-02	1.882726e-02
2.800000e+00	3.000000e+00	5.504725e-01	2.015422e-02	2.015422e-02
3.000000e+00	3.200000e+00	5.534240e-01	2.020818e-02	2.020818e-02
3.200000e+00	3.400000e+00	2.708088e-01	1.413610e-02	1.413610e-02
3.400000e+00	3.600000e+00	1.438902e-01	1.030419e-02	1.030419e-02
3.600000e+00	3.800000e+00	9.592680e-02	8.413338e-03	8.413338e-03
3.800000e+00	4.000000e+00	6.345925e-02	6.842989e-03	6.842989e-03
# END HISTO1D

