# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRl
YLabel=$\mathrm{d}\sigma/\Delta \mathrm{R}$ [pb]
XLabel=Separation of the two leptons $\Delta \mathrm{R}_{\mathrm{ll}}$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRl
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Rivet.yoda/ATLAS_histo/deltaRl
ScaledBy=8.0372930397042282e-05
Title=Rivet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.290628e-02	3.034012e-03	3.034012e-03
2.000000e-01	4.000000e-01	6.510205e-02	5.114902e-03	5.114902e-03
4.000000e-01	6.000000e-01	9.564380e-02	6.199665e-03	6.199665e-03
6.000000e-01	8.000000e-01	1.410545e-01	7.528933e-03	7.528933e-03
8.000000e-01	1.000000e+00	1.691850e-01	8.245573e-03	8.245573e-03
1.000000e+00	1.200000e+00	2.045491e-01	9.066479e-03	9.066479e-03
1.200000e+00	1.400000e+00	2.427263e-01	9.876391e-03	9.876391e-03
1.400000e+00	1.600000e+00	2.632213e-01	1.028491e-02	1.028491e-02
1.600000e+00	1.800000e+00	3.138563e-01	1.123066e-02	1.123066e-02
1.800000e+00	2.000000e+00	3.311365e-01	1.153569e-02	1.153569e-02
2.000000e+00	2.200000e+00	3.584632e-01	1.200224e-02	1.200224e-02
2.200000e+00	2.400000e+00	4.062852e-01	1.277778e-02	1.277778e-02
2.400000e+00	2.600000e+00	4.251728e-01	1.307142e-02	1.307142e-02
2.600000e+00	2.800000e+00	4.360232e-01	1.323716e-02	1.323716e-02
2.800000e+00	3.000000e+00	4.729947e-01	1.378694e-02	1.378694e-02
3.000000e+00	3.200000e+00	4.778170e-01	1.385705e-02	1.385705e-02
3.200000e+00	3.400000e+00	2.491561e-01	1.000635e-02	1.000635e-02
3.400000e+00	3.600000e+00	1.519048e-01	7.813141e-03	7.813141e-03
3.600000e+00	3.800000e+00	7.635430e-02	5.539323e-03	5.539323e-03
3.800000e+00	4.000000e+00	4.822376e-02	4.402207e-03	4.402207e-03
# END HISTO1D

